Coke		250.00		50.00
Mango		500.00		40.00
Soap		280.00		30.00
Rice		500.00		45.00
Sugar		300.00		35.00
Oil		310.00		40.00
Salt		240.00		30.00
Biscuit		350.00		15.00
Chips		150.00		10.00
Tea		500.00		60.00
Coffee		500.00		120.00
Apple		200.00		80.00
Paper		300.00		15.00
Egg		200.00		10.00
 
Alu		200.00		20.00
Jam		200.00		80.00
COKE		250.00		50.00
MANGO		500.00		40.00
SOAP		280.00		30.00
RICE		498.00		45.00
SUGAR		300.00		35.00
OIL		310.00		40.00
SALT		240.00		30.00
BISCUIT		350.00		15.00
CHIPS		150.00		10.00
TEA		500.00		60.00
COFFEE		500.00		120.00
APPLE		200.00		80.00
PAPER		300.00		15.00
EGG		200.00		10.00
ALU		200.00		20.00
JAM		200.00		80.00
